labels,FA1,FA2,FA3
1,-0.378833893,-0.845348791,2.237328016
1,-0.822238446,1.690971511,-0.433279852
1,-0.607031354,1.836451079,-0.287665046
1,-0.446045983,1.705720844,0.160199434
1,0.603121283,2.406981581,-0.260588739
1,0.098819716,-0.484988845,-2.004690974
1,-0.715782782,0.952584193,-0.694567149
1,-0.31243845,2.037156771,-0.299273873
1,-0.424680884,-0.727774956,1.062521129
1,0.634482299,1.581756036,-1.155365745
1,-0.761385967,1.568833759,-0.118122315
1,-0.395531319,-1.286722487,-2.071182486
1,-0.363623163,1.405563547,0.463649852
1,-0.208812323,1.942506595,0.844615636
1,-0.775774281,1.618206071,-0.902375806
1,-1.015320081,1.232124946,-0.116550549
1,-0.836544273,1.420989508,-0.252037899
1,-0.948106506,1.16230611,-1.385318596
1,-0.391013454,-1.353879091,-1.49502651
2,0.29425296,-1.622469577,0.667371619
2,0.06536245,-0.661745087,2.569492215
2,-0.26007509,-1.811954985,0.323893231
2,-0.103309835,-1.411988483,-0.017016961
2,-1.276324582,-0.740410032,1.397913635
2,-0.471582845,-1.644810856,-0.525742984
2,0.868566195,-0.913975964,-0.807443515
2,-0.038087141,-1.132155096,0.934735413
2,1.264226327,-0.568259239,-0.014999434
2,1.785213084,0.153100761,0.01515127
2,0.082568202,-1.464744503,-0.579283105
2,0.715481428,-0.119935824,-0.213056566
2,0.74694807,-0.813270806,0.045512935
2,1.576959282,0.049729183,0.132204582
2,-0.35152979,-0.822978322,1.495351886
2,-0.459648085,-0.849799417,0.504299583
2,-0.423377552,-0.76070575,1.150836023
2,0.533242053,-1.311568173,0.224273601
2,0.485582404,-1.102516298,-0.192501731
2,1.833294917,0.602061057,-0.815732332
2,0.344487733,-1.394165803,0.188819617
2,0.724609952,0.163464323,0.137993526
2,0.193697436,-0.226914619,1.862445979
2,0.270231874,-0.10123983,-0.656048189
2,0.847582959,0.212306794,-0.664933201
2,0.473216559,0.059118082,-0.188060202
2,1.467432102,0.293848314,-0.696728625
2,0.341419191,-0.566041883,-0.247885996
2,0.104667645,-0.055281889,-0.477100709
2,1.388028251,0.323840213,-0.45859916
2,1.407923053,-0.178437806,-0.082390248
2,1.586405883,0.223182248,0.077538674
3,0.353090513,-0.589997881,0.814259439
3,0.845042334,-0.047470998,-0.826858414
3,0.64594625,-0.360254804,-0.159124762
3,1.330076519,-0.164787076,-0.218656276
3,0.371143219,-0.287597618,1.13511105
3,0.411519702,0.218331493,1.930501017
3,1.060347833,-0.868508787,-0.31429513
3,1.319157464,-0.329521665,-0.337296772
3,0.428374707,0.076072209,1.200909258
3,0.251934306,-0.051636909,1.812453167
3,0.393163175,-1.29202924,1.505333402
3,0.166595966,1.69172343,0.533800361
3,1.971576931,0.399086594,-0.48466353
3,1.951176128,0.886996948,-0.035035892
3,1.809964365,0.136928585,-0.148313824
3,0.359081218,-0.591456405,0.968841726
3,0.283551408,0.264164898,2.019990908
3,0.784511582,-0.503395383,1.538628535
3,1.456812974,-0.437682888,0.769257608
3,1.81450914,0.073877123,0.20918823
3,1.747972441,0.020172474,0.322515314
3,1.652233182,0.009952571,0.572811704
3,0.057932287,0.19084545,2.214922159
3,1.325871819,-0.211576846,1.700464796
3,1.620126614,0.38531687,-0.591173307
3,1.550028539,0.575447111,-0.634227731
3,0.732068754,0.298178458,-0.275921532
3,0.603962553,-0.341143618,-0.159856727
3,0.957079112,0.278046972,-0.223095188
