labels,sensor1_integral_value,sensor1_max_gradient,sensor1_ mean_gradient,sensor1_variance_value,sensor1_wavelt_energy,sensor1_RSAV,sensor2_integral_value,sensor2_max_gradient,sensor2_ mean_gradient,sensor2_variance_value,sensor2_wavelt_energy,sensor2_RSAV,sensor3_integral_value,sensor3_max_gradient,sensor3_ mean_gradient,sensor3_variance_value,sensor3_wavelt_energy,sensor3_RSAV,sensor4_integral_value,sensor4_max_gradient,sensor4_ mean_gradient,sensor4_variance_value,sensor4_wavelt_energy,sensor4_RSAV,sensor5_integral_value,sensor5_max_gradient,sensor5_ mean_gradient,sensor5_variance_value,sensor5_wavelt_energy,sensor5_RSAV,sensor6_integral_value,sensor6_max_gradient,sensor6_ mean_gradient,sensor6_variance_value,sensor6_wavelt_energy,sensor6_RSAV,sensor7_integral_value,sensor7_max_gradient,sensor7_ mean_gradient,sensor7_variance_value,sensor7_wavelt_energy,sensor7_RSAV,sensor8_integral_value,sensor8_max_gradient,sensor8_ mean_gradient,sensor8_variance_value,sensor8_wavelt_energy,sensor8_RSAV
0,34.78342034,0.329979294,0,63.19278993,34.13317096,35.86666667,0,91.0326957,1.108017493,0.006500268,0,0.998976617,0.898887368,0,0,0.93880526,0.05149358,-0.000117136,0,0.099256571,0.055687445,0,0,0.131116224,6.479343537,0.000319662,0,68.7990956,11.06737373,0,0,143.2977508,12884.02881,1.152875552,0,44096.29161,12567.46323,13500,0,91652.64859,20,0.182988895,0,35.52718192,20,20,0,58.00379369
0,35.41599413,0.348644771,0,130.4539525,35.17316402,35.86666667,0,194.9266661,1.058669007,0.005399536,0,1.708237639,0.885172845,0,0,1.403819837,0.041336095,0.000212643,0,0.213635137,0.04038735,0,0,0.352089077,1.946281417,0.000717341,0,260.0649007,3.113465787,0,0,850.4959613,13203.60358,1.301749327,0,186803.0523,13063.42575,13500,0,426719.6126,20,0.214436473,0,74.99361064,20,20,0,131.765749
0,35.16288388,0.368011146,0,130.3620515,34.96156574,35.86666667,0,194.5218833,1.078862974,0.005726781,0,1.735208544,0.886853692,0,0,1.18542869,0.042902836,0.000239649,0,0.204197303,0.038267113,0,0,0.34899667,3.488623878,0.000290242,0,325.9338663,4.223296934,0,0,1006.162095,13066.66032,1.432923822,0,188768.608,12946.28662,13500,0,430363.6252,20,0.217328209,0,76.21791683,20,20,0,137.4015983
0,35.40321787,0.429898772,0,193.5177766,35.13475106,35.86666667,0,268.2571936,1.077559945,0.008811805,0,3.142568573,0.957255905,0,0,2.213809722,0.042115025,0.000322408,0,0.358443131,0.04211389,0,0,0.598573125,2.047431423,0.002039814,0,732.8665498,3.48031166,0,0,2431.618412,13197.00284,2.009419112,0,416425.2671,13046.32866,13500,0,835865.3152,20,0.276127988,0,119.5839744,20,20,0,203.5779433
0,35.12446586,0.656441562,0,302.9187755,34.98354214,35.86666667,0,392.252872,1.048738621,0.008541084,0,4.309609091,0.835860058,0,0,2.439311001,0.04075967,0.000611903,0,0.638033888,0.034773287,0,0,0.977012664,3.61019335,0.002268093,0,2747.641928,3.799339823,0,0,8405.970904,13043.63231,4.59387923,0,1052543.952,12950.42482,13500,0,1895113.515,20,0.366430067,0,194.1559495,20,20,0,304.5384393
0,35.03909379,0.311128895,0,70.00647944,34.91632808,35.86666667,0,132.5679651,0.727199976,0.006411019,0,0.597364193,0.548512525,0,0,0.344410067,0.028358345,5.06E-05,0,0.074936876,0.025710363,0,0,0.104239525,3.14129633,0.001051252,0,48.7829427,3.091571165,0,0,111.9163133,12972.59017,1.053669044,0,52964.6706,12883.40398,13500,0,188100.9725,20,0.196417572,0,41.18900089,20,20,0,85.29357989
0,35.37648819,0.409562762,0,158.5949851,35.12523631,35.86666667,0,228.4266488,1.052106265,0.007181532,0,2.480820491,0.964607009,0,0,1.269887547,0.043238212,0.000423919,0,0.271846596,0.042883829,0,0,0.436079323,2.193239083,0.00144413,0,447.2354721,3.569281292,0,0,1407.887236,13181.4129,1.810869971,0,278165.6332,13041.88191,13500,0,594037.7726,20,0.283441172,0,91.76165774,20,20,0,158.4866458
0,35.51978237,0.348143274,0,177.4322245,35.25727383,35.86666667,0,257.1679134,1.124293449,0.00483727,0,2.671568394,0.894047123,0,0,1.685012197,0.039206514,0.000261355,0,0.298259389,0.040502282,0,0,0.482665292,1.373156398,0.001162186,0,551.9248996,2.666025902,0,0,1748.341171,13263.16661,1.31347316,0,347865.7323,13110.5235,13500,0,751674.5585,20,0.233409202,0,101.2078441,20,20,0,176.6506327
0,35.57061244,0.501714226,0,255.9892948,35.34611108,35.86666667,0,340.5038774,1.041417267,0.008392337,0,3.664244065,0.831037663,0,0,1.823317665,0.034962108,0.000480201,0,0.494898609,0.036089482,0,0,0.763739535,1.052373105,0.000566427,0,1467.364903,2.040028966,0,0,4857.890801,13292.99614,2.660054948,0,734908.0429,13157.92056,13500,0,1378287.919,20,0.301373841,0,156.4425211,20,20,0,254.0887248
0,35.38964648,0.490336606,0,275.5932685,35.16087785,35.86666667,0,370.8526753,1.023496162,0.006649015,0,4.013518177,0.85210329,0,0,2.226245017,0.040939291,0.000550763,0,0.534499999,0.037961542,0,0,0.820452567,2.06633268,0.000933646,0,1907.589825,3.053673364,0,0,5796.273549,13188.25,2.554571367,0,858691.4566,13053.78554,13500,0,1636041.193,20,0.307952421,0,167.2182095,20,20,0,274.6212301
0,34.51140596,0.330641181,0,104.2498616,34.35887723,35.86666667,0,173.6602604,0.973519962,0.0075891,0,1.712557268,0.720681859,0,0,0.871690367,0.046876985,-3.60E-05,0,0.162417115,0.036850552,0,0,0.198357276,7.593192294,0.000987091,0,272.7715504,6.743159879,0,0,609.5046633,12727.50633,1.182784252,0,122948.6931,12595.54556,13500,0,336670.6687,20,0.203297,0,64.54174552,20,20,0,118.4612967
0,35.09747615,0.27869124,0,77.97830688,34.5588858,35.86666667,0,108.6966607,1.115639317,0.007184506,0,1.29817338,1.070268341,0,0,1.217290415,0.052040034,-7.77E-05,0,0.135753698,0.057038139,0,0,0.190286785,4.250753246,0.0006711,0,110.4969693,8.425525101,0,0,288.4527709,13038.81733,0.838368756,0,67308.03612,12783.33385,13500,0,133472.1614,20,0.172512794,0,45.23908281,20,20,0,74.6625333
0,35.31221687,0.326091152,0,131.9030729,35.02721158,35.86666667,0,184.8522532,1.135184744,0.008541084,0,1.69423157,0.916255132,0,0,1.184357708,0.04621129,-0.000105941,0,0.268679529,0.043594214,0,0,0.37469033,2.713047846,0.000798257,0,400.833608,4.111282665,0,0,1197.653028,13149.254,1.145320421,0,195636.4657,12987.67906,13500,0,398646.0497,20,0.173938927,0,87.51075843,20,20,0,143.6980098
0,35.31721672,0.464696258,0.006666667,179.6479165,34.81166923,35.84952601,0,183.9602104,1.298271554,0.011010293,0.011156066,2.31850122,1.341622538,0.099059916,0,1.502855953,0.05089827,0.000395845,2.89E-20,0.401769038,0.06004728,0.002637162,0,0.519027455,2.905855793,0.002104587,0.00021704,916.0708954,7.13514657,0.004588714,0,2013.775697,13156.49199,2.329745156,0.007760926,368521.7534,12921.38537,13485.89338,0,422438.345,20,0.218682608,0,120.9798555,20,20,0,152.0464134
0,35.32907414,0.176327919,0,199.0242412,34.76400272,35.83207217,0,220.5517677,1.439914916,0.005905278,0,2.763378354,1.369964896,0.219825073,0,1.346462783,0.054046925,0.000210098,0,0.417034701,0.062952297,0.005442618,0,0.581315876,2.998140656,0.000131707,0,1122.71262,7.733154879,0.018711439,0,3026.762164,13166.30832,0.331139493,0,452099.8925,12905.03392,13471.77762,0,611471.1988,20,0.101626167,0,125.6577456,20,20,0,177.4162392
0,35.35007981,0.315293806,0,224.974211,34.88436152,35.85018229,0,259.7058204,1.242634022,0.008541084,0,3.334842625,1.1560451,0.082379366,0,1.362676266,0.048046206,0.000299478,0,0.461657334,0.053098356,0.002347137,0,0.637639079,2.598452209,0.000647917,0,1380.228934,5.871543844,0.003954927,0,3525.640649,13172.32472,1.064458251,0,575857.269,12936.36233,13486.496,0,825246.1827,20,0.189001313,0,138.5545961,20,20,0,199.4309405
